"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE"
,"October 30, 2016",,"Brexit is on track - and the Remainers' pessimism must not stop it; Letters to the Editor","465 words","The Sunday Telegraph (London)","LETTERS; Pg. 21",
"Michael Deacon","October 25, 2016 Tuesday",,"Ask away about Brexit - just don't expect a reply; Chaos in Calais","465 words","The Daily Telegraph (London)","NEWS; Pg. 4",
"Michael Moore","October 20, 2016 Thursday 1:18 PM GMT",,"BREXIT - Dithering Government could be affecting YOUR broadband speed","465 words","Express Online",,
"Joe Barnes","November 1, 2016 Tuesday 9:20 PM GMT",,"Ukip leadership hopeful Paul Nuttall: Brexit is not responsible for spike in hate crimes","464 words","Express Online",,
"By Ben Riley-Smith, Assistant Political Editor","October 29, 2016 Saturday 8:19 PM GMT",,"Lib Dems turn fight for Richmond into 'Brexit referendum' with dire warnings over economy","464 words","telegraph.co.uk","NEWS",
"Simon Jenkins","October 28, 2016 Friday 10:54 AM GMT",,"Nissan got a sweetheart deal. Under hard Brexit, everyone will want one; Britain has to trade openly with Europe, and vice versa. A soft Brexit is the only way to do that, and avoid a race to the bottom","464 words","The Guardian","OPINION",
"EUROPE By Nigel Morris POLITICAL EDITOR","October 27, 2016",,"Prime Minister accused of Brexit hypocrisy after speech is leaked","463 words","i-Independent Print Ltd","NEWS; Pg. 6",
"Zlata Rodionova","October 24, 2016 Monday 11:47 AM GMT",,"Brexit: UK real estate investor looks to snap up European offices to capitalise on looming bank exodus; Property investors are looking foroffice spaces the banks may need after the UK leaves the EU","462 words","The Independent (United Kingdom)","BUSINESS NEWS",
,"October 23, 2016",,"Everyone will lose out if the EU takes a punitive approach to Brexit; Letters to the Editor","462 words","The Sunday Telegraph (London)","LETTERS; Pg. 17",
"Charlie Bayliss","October 20, 2016 Thursday 6:35 AM GMT",,"Philip Hammond announces 'skilled migrants are STILL WELCOME after Brexit'","462 words","Express Online",,
"Rachael Pells","October 22, 2016 Saturday 10:02 AM GMT",,"Brexit the 'catalyst' universities need to improve, says Russell Group chair; Brexit could be 'the catalyst we all need', says Russell Group chair, Sir David Greenaway","461 words","The Independent (United Kingdom)","EDUCATION NEWS",
"Lynsey Bews","November 1, 2016 Tuesday 7:08 AM GMT",,"Brexit: EU workers 'adding £7.3bn to Scottish economy'; Around one in 20 workers in Scotland come from other EU countries, with patterns of employment 'markedly different'north of the border","460 words","The Independent (United Kingdom)","UK POLITICS",
"Jonathan Lynn","October 31, 2016 Monday 4:54 PM GMT",,"Brexit means Brexit: breakfast doesn't necessarily mean breakfast; What goes best with a fry-up? Red sauce, brown sauce, or thousands of pages of tangled regulations? Yes Minister's co-creator imagines how Brexit will leave Britain's supermarket bosses howling in the aisles","460 words","The Guardian","POLITICS",
"Patrick Christys","October 25, 2016 Tuesday 2:39 PM GMT",,"Canny British officials swerve strict EU laws banning pre-Brexit trade deal with Australia","460 words","Express Online",,
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","October 25, 2016 Tuesday 5:08 PM GMT",,"France plots to steal our banks: Leading presidential candidate Alain Juppe must change its tax policy to lure London firms worried about Brexit","460 words","MailOnline","NEWS",
"By Jack Blanchard","October 24, 2016 Monday 11:55 PM GMT",,"Nicola Sturgeon slams Theresa May's 'deeply frustrating' Brexit summit as meeting with UK leaders collapses; The Scottish First Minister said the Prime Minister has no plan for leaving the EU","460 words","mirror.co.uk","NEWS,UK NEWS",
"Caroline Mortimer","November 1, 2016 Tuesday 12:36 PM GMT",,"Donald Trump says he'll win the presidential election: 'It will be Brexit times 10'; Polls have cut Hillary Clinton's lead from 4.6 to 2.5 points following a renewed email scandal","458 words","The Independent (United Kingdom)","US ELECTIONS",
"Simon Osborne","October 27, 2016 Thursday 10:46 AM GMT",,"Don't expect Brexit-type surprise for Trump in Presidential race, says Goldman Sachs","458 words","Express Online",,
"Philip Aldrick","October 20, 2016 Thursday",,"Business shrugs off Brexit to create 100,000 new jobs","458 words","The Times (London)","BUSINESS; Pg. 42",
,"October 27, 2016 Thursday 3:45 PM GMT",,"EasyJet boss confident of post-Brexit airspace deal between Britain and EU","456 words","Express Online",,
"Jill Treanor","October 25, 2016 Tuesday 5:51 PM GMT",,"Ireland is 'ideal home' for European banking regulator after Brexit; Dublin enters battle to provide home for authority, currently based in London, and for European Medicines Agency","456 words","The Guardian","BUSINESS",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","October 21, 2016 Friday 10:14 AM GMT",,"Polish woman is BOOED by Question Time audience after saying she no longer feels welcome in the UK after Brexit vote","456 words","MailOnline","NEWS",
"Joe Watts","October 27, 2016 Thursday 10:08 AM GMT",,"Brexit: UK must win EU deal by 2019 or face never-ending talks, says Liam Fox; Canada's deal with the EU is floundering after getting bogged down in Belgium's regional administrations","455 words","The Independent (United Kingdom)","UK POLITICS",
"ROB MERRICK DEPUTY POLITICAL EDITOR","October 26, 2016 Wednesday",,"Aid budget could be used to secure new trade deals post-Brexit, Priti Patel says","455 words","The Independent - Daily Edition","NEWS; Pg. 13",
"Rowena Mason Deputy political editor","October 25, 2016 Tuesday 4:54 PM GMT",,"Hammond says highly skilled won't face EU immigration controls; Chancellor goes further than Theresa May in seeking to reassure financial services industry over consequences of Brexit","455 words","The Guardian","POLITICS",
"By Tom Ough","October 31, 2016 Monday 6:00 AM GMT",,"How will Brexit affect Black Friday and Cyber Monday this year?","454 words","telegraph.co.uk","BLACK FRIDAY",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","October 25, 2016 Tuesday 12:43 PM GMT",,"Australia RULES OUT starting talks on trade deal with the UK before Brexit but announces plans to make easier for us to get Aussie visas","454 words","MailOnline","NEWS",
,"October 31, 2016 Monday",,"Brexit negotiators cannot afford to ignore the markets on our doorstep; Letters to the Editor","453 words","The Daily Telegraph (London)","LETTERS; Pg. 15",
"Oliver Wright ; Francis Elliott","October 27, 2016 Thursday",,"Tory remainer pays big price for Brexit attacks","453 words","The Times (London)","NEWS; Pg. 6",
"Macer Hall","October 22, 2016 Saturday",,"MAY TELLS EU BOSSES 'GROW UP'; 'Seize the Brexit opportunities'","453 words","The Express","NEWS; Pg. 1,5",
"David Hughes","October 22, 2016 Saturday 1:26 PM GMT",,"Wales must stay in the EU single market after Brexit, Leanne Wood insists; 'There are 200,000 jobs in Wales dependent on trade with Europe,' says Plaid Cymru leader Ms Wood","453 words","The Independent (United Kingdom)","UK POLITICS",
"Alexandra Sims","October 26, 2016 Wednesday 10:17 AM GMT",,"Brexit: Government to review GM crop regulations in preparation for leaving EU; Agriculture minister George Eustice said 'the Government is considering possible future arrangements for the regulation of genetically modified organisms'","452 words","The Independent (United Kingdom)","HOME NEWS",
"BY GERRI PEEV POLITICAL CORRESPONDENT","October 27, 2016 Thursday",,"FRANKENFOOD FARMERS MAY EXPLOIT BREXIT RULE CHANGES","450 words","DAILY MAIL (London)",,
"Indra Warnes","October 27, 2016 Thursday 9:28 AM GMT",,"EU'S 'BROKEN RELATIONSHIP': Chief Brexit negotiator inflames tensions with Tweet","450 words","Express Online",,
"SHAUN CONNOLLY; SAM LISTER","October 25, 2016 Tuesday",,"FRUSTRATING AND CLUELESS; Scottish leader blasts lack of Brexit strategy","450 words","Daily Mirror","NEWS; Pg. 2",
"Zlata Rodionova","October 25, 2016 Tuesday 9:12 AM GMT",,"Brexit: UK's biggest tech CEO says Theresa May's restriction on foreign workers could damage his business; The Government has hinted it is headed for a so-called hard Brexit which means leaving the single market and an end to freedom of movement","450 words","The Independent (United Kingdom)","BUSINESS NEWS",
"Jessica Elgot Political correspondent","October 27, 2016 Thursday 8:02 AM GMT",,"Tories want a Brexit deal for themselves, not the many - John McDonnell; Shadow chancellor to warn that Theresa May's apparent U-turn over Heathrow expansion shows she cannot be trusted to keep Brexit promises","449 words","The Guardian","POLITICS",
"JAMES BURTON FOR THE DAILY MAIL","October 30, 2016 Sunday 6:27 PM GMT",,"Business confidence defies Brexit gloom: Another blow for Project Fear as optimism hits fresh high","447 words","MailOnline","MARKETS",
"Oliver Wright","October 28, 2016 Friday",,"Last-ditch No 10 pledge kept Nissan in Britain; Carmaker will be shielded from Brexit costs","447 words","The Times (London)","NEWS; Pg. 1",
"Michael Savage C","October 26, 2016 Wednesday",,"Brexit will be bad for business, May told bankers before vote","447 words","The Times (London)","NEWS; Pg. 2",
"Jennifer Rankin in Brussels","October 20, 2016 Thursday 1:41 PM GMT",,"May calls on European leaders to stop Russian atrocities in Syria; Prime minister calls for united stance as she arrives for first summit in Brussels and pledges UK strength as a partner post-Brexit","447 words","The Guardian","POLITICS",
"Charlie Bayliss","October 25, 2016 Tuesday 11:42 PM GMT",,"Fury as Tesco boss demands OPEN BORDERS after Brexit to keep constant flow of cheap labour","446 words","Express Online",,
"By Dan Bloom","October 23, 2016 Sunday 5:28 PM GMT",,"Major banks 'to move jobs out of Britain within months' because of Brexit; ""Hands are quivering over the relocate button"" warns the British Bankers' Association - amid claims the Tories will give business a huge tax cut","446 words","mirror.co.uk","NEWS,UK NEWS",
"By Ben Martin","October 20, 2016 Thursday 12:20 PM GMT",,"German central banker claims Europe's economy will shrug-off Brexit","446 words","telegraph.co.uk",,
"Oli Smith","October 30, 2016 Sunday 12:59 PM GMT",,"Leave MP RIPS INTO Labour Remainer for dismissing Brexit voters' immigration worries","445 words","Express Online",,
"Rehema Figueiredo","October 29, 2016 Saturday 12:00 AM GMT",,"Morrisons hikes cost of Marmite after Brexit row but own brand stays the SAME price","444 words","Express Online",,
"By Lexi Finnigan","October 28, 2016 Friday 4:20 PM GMT",,"Holiday Inn gym blames Brexit and 'falling pound' on decision to end free towels for users","444 words","telegraph.co.uk","NEWS",
"Charlie Bayliss","October 31, 2016 Monday 4:05 AM GMT",,"Government at war over Brexit AGAIN as Fox tells Chancellor not to start 'Project Fear II'","443 words","Express Online",,
"Editorial","October 27, 2016 Thursday 5:23 PM GMT",,"Forget the Brexit statistics, it's still too soon to know what leaving the EU will do to the economy; The latest figureshave been interpreted,as are most economic data, with the prejudices of those doing the interpreter firmly embedded in them","443 words","The Independent (United Kingdom)","EDITORIALS",
"Zlata Rodionova","October 27, 2016 Thursday 10:50 AM GMT",,"Nissan to build new models in Sunderland and secure 7000 jobs despite Brexit vote; The decision will secure 7,000 jobs","443 words","The Independent (United Kingdom)","BUSINESS NEWS",
"Greg Heffer, Political Reporter","October 28, 2016 Friday 1:01 PM GMT",,"Theresa May SLAPS DOWN Tony Blair as he tries to rally Remain 'insurgency' against Brexit","442 words","Express Online",,
"Greg Heffer, Political Reporter","October 27, 2016 Thursday 3:39 PM GMT",,"No Bregrets: Voters still believe Brexit is BEST for Britain and country will be RICHER","442 words","Express Online",,
"Jon Stone","October 20, 2016 Thursday 4:57 PM GMT",,"Brexit negotiators are 'in cloud cuckoo land', says man who negotiated Britain's EU rebate; Sir Brian Unwin, a formerTreasury mandarin, said David Davis had misread the situation","442 words","The Independent (United Kingdom)","UK POLITICS",
"Editorial","October 31, 2016 Monday 4:40 PM GMT",,"Don't be so quick to laugh at Ukip's latest blunder - we should learn our lesson from Brexit; Between altercations, the shortest recorded leadershipof a major party, to the falling away of the talent that could possibly rescue the party from ridicule, the comical pratfall is complete. In the latest developmentprospective leader Raheem Kassam has ducked out","441 words","The Independent (United Kingdom)","VOICES",
"DAVID GREENAWAY","October 22, 2016 Saturday",,"Academics have to think globally like us in the post- Brexit world","441 words","The Daily Telegraph (London)","FEATURES; Pg. 22",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","October 31, 2016 Monday 10:08 AM GMT",,"Germany has received TWENTY times its normal rate of citizenship applications from British descendants of Holocaust survivors following Brexit","439 words","MailOnline","NEWS",
"Ajay Nair","November 1, 2016 Tuesday 2:23 PM GMT",,"Brexit rallying cry: Economist claims the pound will be STRONGER after leaving EU","438 words","Express Online",,
"Steven Swinford","October 31, 2016 Monday",,"Car industry promised tariff-free access to Europe; Road to Brexit ; Business Secretary tells companies including Nissan post-Brexit trading will be free of red tape","438 words","The Daily Telegraph (London)","NEWS; Pg. 4",
"Rowena Mason Deputy political editor","October 28, 2016 Friday 9:51 AM GMT",,"Tony Blair calls on remain voters to mobilise against Brexit; 'We're the insurgents now,' says former prime minister in latest rallying cry to halt UK's withdrawal from the European Union","437 words","The Guardian","POLITICS",
"Ben Martin","October 27, 2016 Thursday",,"Lloyds sets aside £1bn more for PPI claims, amid Brexit optimism","437 words","The Daily Telegraph (London)","BUSINESS; Pg. 5",
"Alison Little","October 25, 2016 Tuesday",,"May tells Sturgeon: I won't let you spoil talks on Brexit deal","436 words","The Express","NEWS; Pg. 7",
"Ajay Nair","October 31, 2016 Monday 8:36 AM GMT",,"Tory MEP blasts Bank of England's 'rockstar banker' Mark Carney over Brexit comments","435 words","Express Online",,
"Zlata Rodionova","October 31, 2016 Monday 9:45 AM GMT",,"WPP warns 'Brexit anxiety' is starting to show as business in the UK slows; Sir Martin Sorrellsaid the British market was a 'little bit softer, maybe reflecting some of the uncertainty around Brexit'","435 words","The Independent (United Kingdom)","BUSINESS NEWS",
"By Isabelle Fraser and Tim Wallace","October 30, 2016 Sunday 9:46 PM GMT",,"UK businesses more upbeat as post-Brexit vote crunch fails to appear","435 words","telegraph.co.uk","BUSINESS",
"Rob Merrick","October 21, 2016",,"Businesses face Brexit 'cliff edge', admits Davis; TRADE","435 words","i-Independent Print Ltd","NEWS; Pg. 11",
"SYLVIA POWNALL","October 31, 2016 Monday",,"BREXIT MUST NOT DESTROY THE PEACE PROCESS; Kerry warns 'hard border' could shake North's political settlement","434 words","Daily Mirror","NEWS; Pg. 8",
"Cyrus Engineer","October 30, 2016 Sunday 9:51 AM GMT",,"Has the Business Secretary let slip the PM's Brexit negotiating strategy?","434 words","Express Online",,
"EDITORIAL","October 28, 2016 Friday",,"How will Brexit affect the economy? Too soon to tell","434 words","The Independent - Daily Edition","NEWS; Pg. 2",
"Helena Bengtsson, Pamela Duncan and Cath Levett","October 20, 2016 Thursday 7:00 AM GMT",,"Witney byelection: Labour and Lib Dems hope for a Brexit bounce; The opposition parties are counting on post-referendum uncertainty costing the Tories votes in the Oxfordshire seat vacated by David Cameron","434 words","The Guardian","POLITICS",
"Peter Dominiczak","October 29, 2016 Saturday",,"Blair plea for Brexit 'change of mind' rejected","431 words","The Daily Telegraph (London)","NEWS; Pg. 4",
"David Shand","October 20, 2016 Thursday 12:01 AM GMT",,"Travis Perkins in Brexit TURMOIL as 600 jobs at risk","430 words","Express Online",,
,"October 28, 2016",,"Henderson hit by Brexit stampede; The Business Matrix The day at a glance FINANCE","43 words","i-Independent Print Ltd","BUSINESS; Pg. 50",
"ANDREW NICOLL","October 25, 2016 Tuesday",,"Nic blasts May over Brexit slur","43 words","The Sun (England)","NEWS; FRONT PAGE; Pg. 1",
"Alexandra Topping","November 1, 2016 Tuesday 12:01 AM GMT",,"Sir David Attenborough: BBC 'absolutely right' to let Bake Off go; Nature presenter talked about Bake Off, Brexit and Jeremy Clarkson in new wide-ranging interview","429 words","The Guardian","TELEVISION & RADIO",
"Simon Osborne","October 27, 2016 Thursday 9:01 AM GMT",,"Brexit boost for Glaxo as pharmaceuticals firm nets £1BILLION windfall","429 words","Express Online",,
"Oliver Wright","October 26, 2016 Wednesday",,"Farmers to grow GM crops under post-Brexit controls","429 words","The Times (London)","NEWS; Pg. 4",
"Sarah O'Grady","October 25, 2016 Tuesday 8:45 PM GMT",,"Housing market to shrug off Brexit fear with £44,000 rise","429 words","Express Online",,
"Lana Clements","October 24, 2016 Monday 12:05 PM GMT",,"Brexit fear-mongers to be proved WRONG by economy growth, figures to show","429 words","Express Online",,
"Stevie Beer","October 20, 2016 Thursday 9:07 AM GMT",,"'We took on the establisment' Farage claims 'big crossover' between Brexit and US election","429 words","Express Online",,
"DANIEL MARTIN, CHIEF POLITICAL CORRESPONDENT FOR THE DAILY MAIL","October 25, 2016 Tuesday 11:47 PM GMT",,"Zac flounces out! By-election for former Tory MP's seat will be a vote on Brexit say Lib Dems as Remainers target 're-run of the referendum'","428 words","MailOnline","NEWS",
"David Maddox","October 20, 2016 Thursday 7:53 PM GMT",,"Brexit Secretary warns Remainers revealing negotiation strategy would be 'damaging'","428 words","Express Online",,
"Alexandra Sims","October 20, 2016 Thursday 3:21 PM GMT",,"Hard Brexit will make EU negotiations much harder for Theresa May, warns Francois Hollande; 'I say very firmly; if Madame Theresa May wants a hard Brexit, then talks will be hard too'","428 words","The Independent (United Kingdom)","EUROPE",
"BEN CHU","October 20, 2016 Thursday",,"Jobs market shows no sign of post-Brexit wobble","428 words","The Independent - Daily Edition","BUSINESS; Pg. 48",
"By Jason Beattie","October 26, 2016 Wednesday 8:31 AM GMT",,"Can we trust Theresa May on Brexit? Mirror Politics morning briefing; Theresa May's leaked comments raise questions about her commitment to a hard Brexit","427 words","mirror.co.uk","NEWS,UK NEWS",
"Jonathan Lynn","October 24, 2016 Monday 4:49 PM GMT",,"Brexit means Brexit: independence! Sovereignty! Freedom! Recession!; Look upon our mighty repeal bill and... despair. Yes Minister's co-creator sails aboard the royal yacht Brexitica for another week's imagined cabinet squabbling","427 words","The Guardian","POLITICS",
"By Tara Cunningham, Business Reporter","October 29, 2016 Saturday 6:20 PM GMT",,"'Business as usual' as UK profit warnings fall by 14pc after Brexit vote","426 words","telegraph.co.uk","BUSINESS",
"ZLATA RODIONOVA","October 28, 2016 Friday",,"Nissan to build models in Sunderland despite Brexit","426 words","The Independent - Daily Edition","BUSINESS; Pg. 55",
"BEN CHAPMAN","October 28, 2016 Friday",,"Brexit uncertainty gives Barclays a 35% profit boost","426 words","The Independent - Daily Edition","BUSINESS; Pg. 58",
"By Scott Campbell","October 25, 2016 Tuesday 11:27 PM GMT",,"Leaked recording reveals what Theresa May REALLY thinks about Brexit during stark warning to bankers; The Prime Minister's public speeches had been relatively muted in the run-up to the vote but in private she was much more candid","426 words","mirror.co.uk","NEWS,UK NEWS",
"Zlata Rodionova","October 21, 2016 Friday 3:29 PM GMT",,"Brexit: Theresa May's 'diplomatic war' with EU makes it 'very difficult running a business', says WPP boss Martin Sorrell; Theresa May was making her first appearance as Prime Minister at the European Council on Friday","426 words","The Independent (United Kingdom)","BUSINESS NEWS",
"Lizzie Stromme","October 21, 2016 Friday 7:58 PM GMT",,"'Project fear LOST' Brexit campaigner blasts 'tsunami of foolish requests' for second vote","425 words","Express Online",,
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","October 30, 2016 Sunday 6:25 PM GMT",,"Don't panic! Cabinet ministers warn Chancellor Philip Hammond NOT to go on a spending spree in his mini budget because it will harm confidence before key Brexit talks","424 words","MailOnline","NEWS",
"Henry McDonald Ireland correspondent","October 28, 2016 Friday 11:45 AM GMT",,"Belfast court rejects legal challenges against Brexit; Judge rejects two challenges in Northern Ireland and says high court does not have power to overturn political decisions","424 words","The Guardian","UK NEWS",
"Laura Mowat","October 26, 2016 Wednesday 2:20 PM GMT",,"'Brexit will NOT disrupt UK trade' World Trade Organisation boss plays down fears","423 words","Express Online",,
"Ajay Nair","October 20, 2016 Thursday 1:46 PM GMT",,"'Brexit is about IMMIGRATION so there's no way UK can stay in single market', analyst says","422 words","Express Online",,
"Sarah O'Grady","October 26, 2016 Wednesday",,"Housing market to shrug off Brexit fear with £44,000 rise","421 words","The Express","NEWS; Pg. 5",
"Nigel Morris and Chris Green","October 25, 2016",,"Sturgeon leads criticisms over May's lack of clarity on Brexit; COVER STORY","421 words","i-Independent Print Ltd","NEWS; Pg. 4",
"Zlata Rodionova","November 1, 2016",,"Carney stays extra year at Bank to see through 'darkest days' of Brexit; ECONOMY","419 words","i-Independent Print Ltd","NEWS; Pg. 9",
"Macer Hall","October 30, 2016 Sunday 8:05 PM GMT",,"Don't panic Mr Hammond: Brexit Tories warn Chancellor against drastic measures","419 words","Express Online",,
,"October 27, 2016 Thursday 12:00 PM GMT",,"Start negotiating Brexit deals NOW or Britain will be pushed off a cliff, blasts Lord Owen","419 words","Express Online",,
"Patrick Christys","October 20, 2016 Thursday 4:13 PM GMT",,"Corbyn's BREXIT HIJACK as Labour leader calls for 'alternative summit' with EU leaders","419 words","Express Online",,
"Joe Watts","October 25, 2016 Tuesday 3:54 PM GMT",,"Brexit: UK must guarantee EU citizens can stay immediately, former Tory leader Michael Howard demands; Lord Howard has said the British Government should 'lead by example'","418 words","The Independent (United Kingdom)","UK POLITICS",
"Jon Stone","October 31, 2016 Monday 12:21 PM GMT",,"Tax havens demand say in Brexit negotiations; British Virgin Islands says overseas territories must 'have our voice heard'","417 words","The Independent (United Kingdom)","UK POLITICS",
,"October 29, 2016 Saturday",,"Tony Blair shows nothing but disdain for the democratic vote on Brexit; Letters to the Editor","417 words","The Daily Telegraph (London)","LETTERS; Pg. 25",
"Ben Martin","October 27, 2016 Thursday",,"Metro Bank on brink of maiden profit as it dismisses Brexit fears","417 words","The Daily Telegraph (London)","BUSINESS; Pg. 5",
"Steven Swinford","October 31, 2016 Monday",,"Britain to ditch its 'unfair' fishing quotas after Brexit; Fishing quotas face post-Brexit overhaul","416 words","The Daily Telegraph (London)","NEWS; Pg. 1,4",
"By Kevin Maguire","October 23, 2016 Sunday 10:31 PM GMT",,"Theresa May has been battered by Brexit storms and is out of her depth and sinking fast; Mrs May is becoming a mediocre Prime Minister at best, says Mirror columnist Kevin Maguire","416 words","mirror.co.uk","NEWS,UK NEWS",
"By Michael Wilkinson, Political Correspondent","October 26, 2016 Wednesday 9:28 AM GMT",,"British farmers could grow GM crops after Brexit, reveals minister","415 words","telegraph.co.uk","NEWS",
"Joey Millar","October 29, 2016 Saturday 3:27 PM GMT",,"Brexit-hating Canadian Bank of England boss Mark Carney ready to QUIT - sources","414 words","Express Online",,
"By Steve Robson","October 29, 2016 Saturday 11:10 PM GMT",,"Cost of a cuppa set to boil over thanks to Brexit as Typhoo Tea battles fall in sterling; Typhoo Tea, which sells 95 per cent of its tea in Britain, will have to act as costs have soared","414 words","mirror.co.uk","NEWS,UK NEWS",
"IAN JOHNSTON ENVIRONMENT CORRESPONDENT","October 28, 2016 Friday",,"UK slumps to all-time low in renewable investment ranking after Brexit","414 words","The Independent - Daily Edition","NEWS; Pg. 13",
"Ajay Nair","October 26, 2016 Wednesday 10:20 PM GMT",,"'Scotland isn't in the EU!' Alex Salmond slammed for 'seeking to frustrate' Brexit talks","414 words","Express Online",,
"Harriet Agerholm","October 25, 2016 Tuesday 11:10 PM GMT",,"Leaked recordings reveal Theresa May's pro-EU stance ahead of Brexit vote; 'Theeconomic arguments are clear.People will investin the UK because it is in Europe,' says May","414 words","The Independent (United Kingdom)","UK POLITICS",
,"October 24, 2016 Monday",,"MPs must think bold to make Brexit work; ESTABLISHED 1855","414 words","The Daily Telegraph (London)","LETTERS; Pg. 17",
"Indra Warnes","October 29, 2016 Saturday 12:00 PM GMT",,"Scotland and London DENIED special visas allowing different immigration rules after Brexit","413 words","Express Online",,
"Stevie Beer","October 20, 2016 Thursday 10:08 AM GMT",,"Hilary Benn: 'Parliament is not a bystander' and 'will have final say' on Brexit deal","413 words","Express Online",,
"By Tim Wallace","November 1, 2016 Tuesday 6:23 PM GMT",,"Trade minister promises to fight protectionism in the post-Brexit world","412 words","telegraph.co.uk","BUSINESS",
"James Quinn","October 24, 2016 Monday",,"Banks 'could send some jobs away from London post-Brexit'","412 words","The Daily Telegraph (London)","BUSINESS; Pg. 3",
"Peter Dominiczak ;Peter Foster","October 21, 2016 Friday",,"EU leaders gang up on May over Brexit; Hollande 'posturing' as he warns of hard negotiations hard if MP pushes for a clean break","412 words","The Daily Telegraph (London)","NEWS; Pg. 2",
"By Alex Wellman","November 1, 2016 Tuesday 10:53 PM GMT",,"Stephen Hawking's joke to Theresa May: 'I deal with tough questions but don't ask me about Brexit!'; Professor Stephen Hawking also revealed his predictions for the future","410 words","mirror.co.uk","TV,TV NEWS",
"Tom Peck","October 27, 2016 Thursday 5:09 PM GMT",,"Easyjet hopeful of Brexit airspace deal, but relocation still a possibility; The airline's commercial director said the UK firm could still relocate to the EU, if theaviation industry did not receive suitable terms in Brexit negotiations","410 words","The Independent (United Kingdom)","UK POLITICS",
"By Jack Blanchard","October 26, 2016 Wednesday 6:35 PM GMT",,"Theresa May's Tory minister admits her 'Brexit means Brexit' catchphrase is meaningless; Mark Garnier said he would not repeat the PM's favourite mantra as it sheds no light on what leaving the EU will actually mean","410 words","mirror.co.uk","NEWS,UK NEWS",
"Hazel Sheffield","October 31, 2016",,"Metro Bank to double its branches despite Brexit; BANKING","409 words","i-Independent Print Ltd","BUSINESS; Pg. 40",
"Elizabeth Anderson BUSINESS EDITOR","October 24, 2016",,"Industrial strategy needed to ease Brexit, say firms; ECONOMY","409 words","i-Independent Print Ltd","BUSINESS; Pg. 40",
,"October 21, 2016 Friday",,"Enemies of Brexit resemble Trump in refusing to abide by the result; Letters to the Editor","409 words","The Daily Telegraph (London)","LETTERS; Pg. 17",
"By Javier Espinoza, Education Editor","October 21, 2016 Friday 11:52 AM GMT",,"Primary school blames Brexit for hike in lunch prices","409 words","telegraph.co.uk","EDUCATION",
"TIM SCULTHORPE, MAILONLINE DEPUTY POLITICAL EDITOR","October 31, 2016 Monday 11:02 AM GMT",,"We're not recruiting enough trade negotiators to take on the EU in Brexit talks, experts warn","408 words","MailOnline","NEWS",
"FERGUS O'SHEA","October 31, 2016 Monday",,"BE KERRY WARY OF BORDER RISK; US Secretary warns of Brexit dangers","408 words","The Sun (England)","NEWS; Pg. 2",
"Zlata Rodionova","October 27, 2016 Thursday 10:50 AM GMT",,"Nissan to build new models in Sunderland and secure 7000 jobs despite Brexit vote; The decision will secure 7,000 jobs","408 words","The Independent (United Kingdom)","BUSINESS NEWS",
"By Marion Dakers, Financial services editor","October 27, 2016 Thursday 11:05 AM GMT",,"Henderson suffers £1bn retail outflow during Brexit jitters, as it works on Janus merger","408 words","telegraph.co.uk","BUSINESS",
"Rebecca Perring","October 23, 2016 Sunday 9:38 PM GMT",,"Tiny Belgian region could hold UK to ransom: Post-Brexit EU trade deal could take 10 YEARS","407 words","Express Online",,
"Nigel Morris POLITICAL EDITOR","October 22, 2016",,"May dismisses calls for Brexit negotiations to be held in French; COVER STORY","404 words","i-Independent Print Ltd","NEWS; Pg. 4",
"BEN CHAPMAN","October 29, 2016 Saturday",,"Brexit will cause stagflation and take UK back to 1970s, warns former BoE expert","403 words","The Independent - Daily Edition","NEWS; Pg. 7",
"Patrick Christys","October 26, 2016 Wednesday 10:38 AM GMT",,"Farage offers to meet German MEP 'OUTSIDE' after he savages Brexit and calls Ukip racist","403 words","Express Online",,
"Rehema Figueiredo","October 26, 2016 Wednesday 12:00 AM GMT",,"Brits care more about MIGRATION than single market access, Brexit poll reveals","403 words","Express Online",,
"By Mikey Smith","October 26, 2016 Wednesday 12:59 PM GMT",,"Jeremy Corbyn quotes Baldrick as he mocks Theresa May's 'cunning plan' for Brexit; The Labour leader said he'd been consulting the great philosophers about Theresa May's Brexit plans","402 words","mirror.co.uk","NEWS,UK NEWS",
"Ben Chu","October 20, 2016 Thursday 9:53 AM GMT",,"Brexit latest: Retail sales miss expectations in September; Growth was flat in September, following zero growth in August","402 words","The Independent (United Kingdom)","BUSINESS NEWS",
"Ravender Sembhy","November 1, 2016",,"WPP blames 'Brexit anxiety' for slower UK sales growth; COMPANIES","401 words","i-Independent Print Ltd","BUSINESS; Pg. 36",
"Hilary Osborne","October 20, 2016 Thursday 12:01 AM GMT",,"Brexit vote blamed for slowing growth in construction sector; Rise in workload among surveyors tapered off over the summer, especially in London and the south-east, says report","401 words","The Guardian","BUSINESS",
