"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE"
"TIM SCULTHORPE, MAILONLINE DEPUTY POLITICAL EDITOR","November 16, 2016 Wednesday 10:03 AM GMT",,"Unemployment rate hits 11-year low of 4.8 per cent in the first figures entirely based on the post-Brexit period","496 words","MailOnline","NEWS",
,"November 25, 2016 Friday 12:01 AM GMT",,"Extra £10billion a year to be spent as Britain wants after Brexit","498 words","Express Online",,
"Katie Allen","November 24, 2016 Thursday 1:26 PM GMT",,"IFS warns of biggest squeeze on pay for 70 years as Brexit grips UK economy; Respected thinktank says UK's withdrawal from EU will stoke inflation and peg back wages to below their 2008 level in 2021","498 words","The Guardian","BUSINESS",
"Cyrus Engineer","November 25, 2016 Friday 7:45 AM GMT",,"'STOP THE EU... Eradicate it' Brexit voter says UK should work to DESTROY Brussels bloc","499 words","Express Online",,
"JAMES Forsyth","November 19, 2016 Saturday",,"Chancellor may be dull but he's the man to get UK Brexit ready","499 words","The Sun (England)","Pg. 10",
"TIM SCULTHORPE, MAILONLINE DEPUTY POLITICAL EDITOR","November 16, 2016 Wednesday 11:57 AM GMT",,"You're a bit insulting! Italian economy minister slams Boris for dumbing down Brexit talks with bogus claims","499 words","MailOnline","NEWS",
,"November 21, 2016 Monday",,"Brexit leads to bumper Black Friday discounts; NEWS","50 words","The Daily Telegraph (London)","NEWS; DIARY; Pg. 1",
,"November 21, 2016",,"Kingfisher set to report Brexit boost; THE WEEK AHEAD The Business Matrix The day at a glance","50 words","i-Independent Print Ltd","BUSINESS; Pg. 42",
"Rob Merrick","November 17, 2016 Thursday 3:05 PM GMT",,"The civil service isn't ready for enormity of Brexit, says former Cabinet Secretary; Lord O'Donnell also warns that EU withdrawal will 'crowd out' the ability of the civil service to perform other key tasks -after years of severe cuts","500 words","The Independent (United Kingdom)","UK POLITICS",
"Darren Hunt","November 16, 2016 Wednesday 5:30 AM GMT",,"British musician Nigel Kennedy claims Brexit has made the UK 'FASCIST and RACIST'","503 words","Express Online",,
,"November 24, 2016",,"The four things we learned from Brexit; AUTUMN STATEMENT 2016 Personal finance","504 words","i-Independent Print Ltd","FEATURES; Pg. 16",
"By Peter Foster , Europe Editor","November 16, 2016 Wednesday 4:38 PM GMT",,"Britons may need to apply for online clearance to visit Europe post-Brexit","504 words","telegraph.co.uk","NEWS",
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE","November 15, 2016 Tuesday 12:43 PM GMT",,"City firms could start leaving the UK next year if Theresa May opts for 'hard' Brexit, warns Bank of England governor Mark Carney","504 words","MailOnline","NEWS",
"Caroline Wheeler","November 20, 2016",,"Drop Supreme Court case over Brexit, May is urged","505 words","Sunday Express","NEWS; Pg. 8",
"Will Kirby","November 15, 2016 Tuesday 2:21 AM GMT",,"BREXIT ON THE BRINK? Leaked memo reveals Whitehall tensions over Britain's EU exit","505 words","Express Online",,
"By Tim Wallace","November 25, 2016 Friday 12:01 AM GMT",,"OBR wrong to predict Brexit will leave budget black hole, says Boris's favourite economist","506 words","telegraph.co.uk","BUSINESS",
"Rob Merrick","November 23, 2016 Wednesday 12:56 PM GMT",,"Chancellor admits to Brexit black hole of £122 billion in Autumn Statement; Chancellor forecasts that Britain will need to borrow a whoppingextra £122bn over six years - a 'black hole' opened up partly because of uncertainty created by EU withdrawal","506 words","The Independent (United Kingdom)","UK POLITICS",
"Nigel Morris POLITICAL EDITOR","November 17, 2016",,"Voters want free trade but curbs on workers in Brexit wishlist; EUROPE","506 words","i-Independent Print Ltd","NEWS; Pg. 4",
"SIMON CALDER","November 16, 2016 Wednesday",,"Why has Brexit damaged Britain's hotel business?","508 words","The Independent - Daily Edition","NEWS; Pg. 18",
"Cyrus Engineer","November 25, 2016 Friday 8:39 AM GMT",,"OUTRAGEOUS Brexit threat: Brussels warns NO BLUFFING over freedom of movement","510 words","Express Online",,
"Larry Elliott Economics editor","November 23, 2016 Wednesday 4:17 PM GMT",,"Philip Hammond's autumn statement is a welcome reality check; New chancellor faces up to the UK's deep-seated economic weaknesses now left exposed by the Brexit vote","510 words","The Guardian","UK NEWS",
"Harry Cockburn","November 23, 2016 Wednesday 2:12 PM GMT",,"Theresa May backs Supreme Court judge who claimed Brexit 'not legally binding'; Prime Minister maintains Article 50 will be triggered by the end of March 2017","510 words","The Independent (United Kingdom)","UK POLITICS",
"Joe Barnes","November 22, 2016 Tuesday 7:05 PM GMT",,"'Realistic' Brexit means UK must LEAVE the single market, eurosceptic minister claims","511 words","Express Online",,
"Rob Merrick","November 21, 2016 Monday 5:39 PM GMT",,"Hand your 'Brexit bonus' to food banks, MEPs told; Campaigners say Euro MPs should not benefit personally from the collapse in sterling - a plunge triggered by the referendum result they campaigned for","511 words","The Independent (United Kingdom)","UK POLITICS",
"Cyrus Engineer","November 25, 2016 Friday 6:19 PM GMT",,"'Living on another planet' Tory MP skewers out of touch Blair and Major over Brexit","512 words","Express Online",,
"Simon Calder","November 22, 2016 Tuesday 2:40 PM GMT",,"Brexit: UK will be 'screwed into the floor' in EU withdrawal talks, warns Ryanair boss; Michael O'Leary says Britain will shortly walk off a cliff","512 words","The Independent (United Kingdom)","NEWS & ADVICE",
"Laura Mowat","November 20, 2016 Sunday 2:06 PM GMT",,"EU leaders to force HARD BREXIT to ensure bloc does not 'disintegrate'","512 words","Express Online",,
"RACHAEL PELLS EDUCATION CORRESPONDENT","November 16, 2016 Wednesday",,"Brexit blamed for rise in EU student 'no-shows' at top UK business schools","512 words","The Independent - Daily Edition","NEWS; Pg. 8",
"Joey Millar","November 25, 2016 Friday 9:12 PM GMT",,"'Do NOT dismiss democracy' Iain Duncan Smith tells Remoaner John Major to ACCEPT BREXIT","513 words","Express Online",,
"Charlie Bayliss","November 24, 2016 Thursday 4:51 AM GMT",,"'Experts and astrologers are in the same category' Tory BLASTS negative Brexit predictions","513 words","Express Online",,
"CAMILLA CANOCCHI FOR THISISMONEY.CO.UK","November 22, 2016 Tuesday 12:49 PM GMT",,"Britons are 10% worse-off thanks to Brexit vote - but UK still has third highest share of the world's mega-rich","513 words","MailOnline","MONEY",
"Greg Heffer, Political Reporter","November 16, 2016 Wednesday 4:57 PM GMT",,"Majority of Britons DON'T want Parliament to meddle over Brexit, new poll finds","513 words","Express Online",,
"Cyrus Engineer","November 23, 2016 Wednesday 4:17 PM GMT",,"Ukip leadership candidate launches stinging attack on DISGRACEFUL attempts to block Brexit","514 words","Express Online",,
"Rob Merrick","November 18, 2016 Friday 10:16 AM GMT",,"Brexit: UK could be forced to pay into EU for a decade after it leaves, warns Germany; Wolfgang Schäuble, Germany's finance minister, also sought to dash Brexiteer dreams of new low-tax freedoms to attract companies after the EU exit","514 words","The Independent (United Kingdom)","UK POLITICS",
"Hamish Macdonell","November 16, 2016 Wednesday",,"Scottish 'passports' and joining Norway among Brexit plans","515 words","The Times (London)","NEWS; Pg. 14",
"By Mikey Smith","November 15, 2016 Tuesday 6:51 PM GMT",,"Nigel Farage and Arron Banks caused increase in violent hate crime after Brexit, MPs told; MPs were told Farage and Banks deliberately lied about statistics to wind people up and make the referendum campaign about emotion rather than facts","515 words","mirror.co.uk","NEWS,UK NEWS",
"By Ashley Armstrong","November 15, 2016 Tuesday 1:46 PM GMT",,"Premier Foods shrugs off Brexit price pressures","517 words","telegraph.co.uk","BUSINESS",
"Hamish Macdonell","November 15, 2016 Tuesday",,"Brexit could mean extra £1.3bn cuts to Scottish public services","517 words","The Times (London)","NEWS; Pg. 20",
"Russ Mould","November 22, 2016 Tuesday",,"PageGroup's overseas cover looks to provide protection against Brexit-inspired panic; QuestorStock Picks The recruitment firm's shares may be far from their year's high, Russ Mould says, but a new drop looks unlikely","518 words","The Daily Telegraph (London)","BUSINESS;NEWS; Pg. 6",
"Alix Culbertson","November 22, 2016 Tuesday 12:00 AM GMT",,"EU to be SHUNNED as 'Ireland DOESN'T want to become Europe's new banking hub after Brexit'","518 words","Express Online",,
"Sean Farrell","November 22, 2016 Tuesday 10:18 AM GMT",,"White goods set to soar on Black Friday as shoppers rush to beat price rises; AO World boss warns post-Brexit vote price increases are inevitable given sterling's weakness with consumers feeling the full impact in January","518 words","The Guardian","BUSINESS",
"Chris Johnston","November 17, 2016 Thursday 10:06 PM GMT",,"German minister takes hard line over Britain's EU commitments post-Brexit; Wolfgang Schäuble warned Britain must honour agreed budget bills until exit is complete, and some commitments lasting more than a decade afterwards","518 words","The Guardian","POLITICS",
"By Ben Martin","November 16, 2016 Wednesday 1:34 PM GMT",,"Barclays boss: London's 'gravitational pull' on finance will not wane after Brexit","518 words","telegraph.co.uk","BUSINESS",
"Darren Hunt","November 21, 2016 Monday 1:43 PM GMT",,"'What Next? Matilda's View On Brexit?' Hamilton actor slammed over Pence row","519 words","Express Online",,
"Lizzie Stromme","November 17, 2016 Thursday 9:44 AM GMT",,"Remoaners were WRONG: Farage hails Brexit SUCCESS as unemployment falls to 11-year low","519 words","Express Online",,
"By Kate McCann, Senior Political Correspondent","November 15, 2016 Tuesday 5:10 PM GMT",,"Supreme Court judge criticised after warning Theresa May could be forced to replace EU laws before triggering Brexit","519 words","telegraph.co.uk","NEWS",
,"November 18, 2016",,"Brexit vote boosts Johnson Matthey; The Business Matrix The day at a glance INDUSTRY","52 words","i-Independent Print Ltd","BUSINESS; Pg. 50",
,"November 17, 2016 Thursday",,"London is safe from Brexit, says Barclays chief; NEWS BRIEFING ; BUSINESS","52 words","The Daily Telegraph (London)","NEWS; Pg. 1",
,"November 22, 2016 Tuesday 7:09 AM GMT",,"Brexit: Britain needs to get out of the European Union as quickly as possible","520 words","Express Online",,
,"November 24, 2016 Thursday 2:04 PM GMT",,"'Hard cheese and sour grapes': Michael Gove slams Labour's Brexit food price rise claims","521 words","Express Online",,
"Ben Kentish","November 23, 2016 Wednesday 7:09 PM GMT",,"Pro-Brexit protest outside Parliament scaled down after thousands fail to turn up; Thousands pledged to protest against High Court ruling on Article 50 -but only 100 people turned up","521 words","The Independent (United Kingdom)","HOME NEWS",
"CITY & FINANCE REPORTER FOR THE DAILY MAIL","November 23, 2016 Wednesday 6:29 PM GMT",,"DAILY BRIEFING: First Property Group gets a post-Brexit boost from the fall in the pound","521 words","MailOnline","MARKETS",
"Jon Stone","November 19, 2016 Saturday 12:32 PM GMT",,"Tories urge Theresa May to cancel her appeal against Brexit High Court judgment; MPs from across the paty have said the appeal is likely not winnable","521 words","The Independent (United Kingdom)","UK POLITICS",
,"November 15, 2016 Tuesday 12:01 AM GMT",,"Labour must now listen to the voters over Brexit","521 words","Express Online",,
"Simon Calder","November 15, 2016 Tuesday 6:25 PM GMT",,"It's cheaper than ever to holiday in the UK - so why has Brexit ruined Britain's hotel business?; Why isn't demand for UK hotels going up faster than supply despite the plummeting pound?","521 words","The Independent (United Kingdom)","VOICES",
"John Boothman","November 20, 2016 Sunday",,"Scottish peer in Brexit spotlight","523 words","The Sunday Times (London)","NEWS; Pg. 13",
"By Michael Wilkinson, Political Correspondent","November 22, 2016 Tuesday 8:53 AM GMT",,"Brexit deal could end up in EU's top court, warns Europe's most senior judge","525 words","telegraph.co.uk","NEWS",
"Szu Ping Chan","November 21, 2016 Monday",,"Firms to defy Brexit fears with science spending boom; CBI says most want to invest in research, as Prime Minister unveils £2bn boost for innovation","525 words","The Daily Telegraph (London)","BUSINESS; Pg. 1",
"Harry Walker","November 19, 2016 Saturday 4:46 AM GMT",,"MPs slam 'BIASED' judge due to rule on Brexit Court Appeal after wife's anti-Brexit tweets","525 words","Express Online",,
"Hamish Macdonell","November 19, 2016 Saturday",,"Supreme Court to hear from Scotland and Wales on Brexit","525 words","The Times (London)","NEWS; Pg. 2",
"GLEN KEOGH FOR THE DAILY MAIL","November 16, 2016 Wednesday 1:54 AM GMT",,"Post-truth is word of year, honest: Oxford Dictionaries crowns expression its international word of the year following Brexit and Donald Trump's election victory","525 words","MailOnline","NEWS",
"Claudia Cuskelly","November 25, 2016 Friday 11:21 AM GMT",,"CHEAP flights post-Brexit: Why cost of holidays could FALL after leaving EU","526 words","Express Online",,
"Maya Oppenheim","November 24, 2016 Thursday 11:01 AM GMT",,"Nigel Farage denies reports he is moving to America; This follows reports the Ukip leader was planning his very own Brexit and emigrating to the US were he would be 'freer' from public attention","526 words","The Independent (United Kingdom)","PEOPLE",
"Letters","November 21, 2016 Monday 7:00 PM GMT",,"Hard Brexit would leave British people poorer - Labour MPs","526 words","The Guardian","POLITICS",
"BY JASON GROVES DEPUTY POLITICAL EDITOR","November 25, 2016 Friday",,"QUANGO UNDER FIRE FOR CLAIM BREXIT CUT IN MIGRANTS WILL HIT OUR FINANCES","527 words","DAILY MAIL (London)",,
"Rachael Pells","November 19, 2016 Saturday 5:26 PM GMT",,"Theresa May told to 'stop using EU staff as pawns in Brexit', as thousands gather in protest; The prime minister has said she cannot guarantee EU nationals the right to stay without reciprocal arrangements","527 words","The Independent (United Kingdom)","EDUCATION NEWS",
"Kate McCann","November 16, 2016 Wednesday",,"Judge warns Brexit could be 'difficult' to achieve","527 words","The Daily Telegraph (London)","NEWS; Pg. 4",
"Richard Tanner","November 17, 2016 Thursday 1:05 PM GMT",,"Revealed: Exactly how Manchester United have been effected by Brexit","529 words","Express Online",,
"Ajay Nair","November 22, 2016 Tuesday 1:54 PM GMT",,"Ukip candidate OUTRAGED after Tory claims credit for Brexit referendum on Daily Politics","530 words","Express Online",,
"ROB MERRICK","November 18, 2016 Friday",,"Ukip 'misspent nearly £400,000 of EU money on Brexit campaign","531 words","The Independent - Daily Edition","NEWS; Pg. 8",
"Jay Rayner","November 17, 2016 Thursday 12:00 PM GMT",,"The Marmite row is the first sign of the true cost of Brexit for food producers; The result of the Brexit-inspired falling pound is that we are, and will continue to be, at the mercy of increasingly expensive imports","531 words","The Observer (London)","LIFE AND STYLE",
"Zoe Efstathiou","November 15, 2016 Tuesday 12:30 AM GMT",,"Britain will REMAIN part of EU policing agency Europol despite Brexit, minister insists","532 words","Express Online",,
,"November 18, 2016 Friday 9:16 AM GMT",,"Theresa May arrives in Berlin to question Merkel on latest German Brexit threat","534 words","Express Online",,
"By Brian Reade","November 25, 2016 Friday 7:26 PM GMT",,"Nigel Farage has been hailed a Brexit hero but the real losers will be you and me; ""Fair play to Nige"" cheered Farage's admirers who, on his say-so, voted themselves to be £1,000-a-year poorer by 2020","535 words","mirror.co.uk","NEWS,UK NEWS",
"Ben Chapman","November 22, 2016 Tuesday 9:24 AM GMT",,"IBM pledges major investment in UK despite Brexit vote, joining Facebook and Google; Tech giant will triple its UK data centre capacity to keep up with demand for cloud-based services","535 words","The Independent (United Kingdom)","BUSINESS NEWS",
"Greg Heffer, Political Reporter","November 15, 2016 Tuesday 7:08 PM GMT",,"Labour MP accused of 'elongated primal scream' over Brexit as he challenges NHS vow","535 words","Express Online",,
"Cyrus Engineer","November 25, 2016 Friday 11:07 AM GMT",,"'Divorces are NEVER easy' Malta PM tells Britain European Parliament could BLOCK Brexit","536 words","Express Online",,
"TOM PECK","November 24, 2016 Thursday",,"Hammond fails to suppress a smirk as he reveals the eye-watering cost of Brexit","536 words","The Independent - Daily Edition","NEWS; Pg. 11",
"Tony Paterson IN BERLIN","November 19, 2016",,"May and Merkel ready for a war of attrition on Brexit deal; EUROPE","538 words","i-Independent Print Ltd","NEWS; Pg. 4",
"JASON GROVES FOR THE DAILY MAIL","November 24, 2016 Thursday 12:10 PM GMT",,"I'm an insurgent who can keep us in the EU, says Blair: Former PM says Brexit 'can be stopped' as he admits he didn't call a referendum because he thought he would lose","539 words","MailOnline","NEWS",
"Rob Merrick","November 21, 2016 Monday 3:43 PM GMT",,"Brexit is likely to end up before EU's highest court, says Europe's top judge; Koen Lenaerts, the President of the European Court of Justice, suggests there are 'many, many ways' it could intervene in Britain's EU exit","539 words","The Independent (United Kingdom)","UK POLITICS",
"Lizzie Stromme","November 16, 2016 Wednesday 2:27 PM GMT",,"'We ARE leaving' Nadine Dorries and Liz Kendall in furious Brexit clash","539 words","Express Online",,
,"November 23, 2016",,"Pessimism over economy deepens; The Business Matrix The day at a glance BREXIT","54 words","i-Independent Print Ltd","BUSINESS; Pg. 42",
"Henry Fisher","November 21, 2016 Monday 5:19 PM GMT",,"Legalising cannabis won't save us from our Brexit budget black hole, but it will make things much easier; Phillip Hammond has said the UK faces a budget black hole of £100bndue to the Brexit induced economic downturn. Sadly, legalising cannabis would only create £1bn in tax revenue","540 words","The Independent (United Kingdom)","VOICES",
"Rob Merrick","November 15, 2016 Tuesday 4:43 PM GMT",,"John McDonnell: Labour will not block hard Brexit - but will rely on 'moral pressure'; The Shadow Chancellor urges his colleagues to be 'positive' about leaving the EU - arguing that fighting Article 50 would put Labour on the side of 'corporate elites'","540 words","The Independent (United Kingdom)","UK POLITICS",
"Joey Millar","November 22, 2016 Tuesday 7:22 PM GMT",,"'They're MAKING IT UP!' Sturgeon's Brexit minister HUMILIATED over 'false' Brexit claims","541 words","Express Online",,
"TIM SCULTHORPE, MAILONLINE DEPUTY POLITICAL EDITOR and JOHN STEVENS EUROPE CORRESPONDENT FOR DAILY MAIL","November 16, 2016 Wednesday 2:39 PM GMT",,"The number of east Europeans with jobs in Britain leaps by 50,000 in the three months after Brexit vote ","541 words","MailOnline","NEWS",
"By Tara Cunningham, Business Reporter and Harry Yorke","November 23, 2016 Wednesday 8:37 AM GMT",,"Autumn Statement 2016 live: Philip Hammond to ease cuts as watchdog reveals size of Brexit black hole","5410 words","telegraph.co.uk","BUSINESS",
"Mark Reynolds","November 23, 2016 Wednesday 10:05 PM GMT",,"Thank You Nigel event brings out the stars as Ukip leader celebrates spearheading Brexit","542 words","Express Online",,
"Simon Neville","November 20, 2016 Sunday 8:49 AM GMT",,"'Businesses and Government must work together' CBI leader calls for clarity over Brexit","542 words","Express Online",,
"Will Kirby","November 24, 2016 Thursday 12:48 AM GMT",,"BREXIT SUCCESS: Migration will be 80,000 a year LOWER after UK quits the EU, claims OBR","543 words","Express Online",,
"By Katie Morley, Consumer Affairs Editor","November 21, 2016 Monday 6:00 AM GMT",,"'Brexit boost' will see best Black Friday bargains yet - with 60pc discounts on items","544 words","telegraph.co.uk","NEWS",
"Philip Aldrick","November 21, 2016 Monday",,"Facebook boost to post-Brexit era with 500 new skilled jobs","544 words","The Times (London)","NEWS; Pg. 2",
,"November 25, 2016 Friday 8:45 AM GMT",,"Theresa May will be forced to delay Brexit, the leader set for EU Council presidency predicts; Britain's EU exit will end up before the European Court of Justice, Malta's Prime Minister predicts - and could easily be 'scuttled' by the European Parliament","545 words","The Independent (United Kingdom)","UK POLITICS",
"Lizzie Dearden","November 15, 2016 Tuesday 7:37 AM GMT",,"Brexit: Theresa May's Government has 'no plan' and needs up to 30,000 extra civil servants to cope - leaked report; 'No common strategy has emerged,' warns memo to Cabinet Office","545 words","The Independent (United Kingdom)","UK POLITICS",
"Alan Travis Home affairs editor","November 14, 2016 Monday 3:10 PM GMT",,"EU ministers to discuss plan to charge Britons to visit Europe after Brexit; Proposal means UK citizens may have to apply online and pay to travel if going to the 26 EU countries in Schengen zone","545 words","The Guardian","POLITICS",
"FIONA PARKER","November 21, 2016 Monday",,"Brexit gets more divisive by the day","546 words","Daily Mirror","FEATURES; Pg. 38",
"Lizzie Dearden","November 25, 2016 Friday 3:48 PM GMT",,"Brexit agreement 'impossible' within two-year period allowed by EU's founding treaty, says Irish PM; Enda Kenny says ministers will encounter 'unforseen issues' while trying to withdraw from EU","548 words","The Independent (United Kingdom)","UK POLITICS",
"Lizzie Stromme","November 24, 2016 Thursday 8:57 AM GMT",,"'Brexit is terrific' Rees-Mogg savages gloomy forecasts & beams happy days are here again","548 words","Express Online",,
"PADDY DINHAM FOR MAILONLINE","November 23, 2016 Wednesday 2:00 AM GMT",,"Philip Hammond gets pre-autumn statement boost as new figures show economy on the up after Brexit vote","548 words","MailOnline","NEWS",
"Rob Merrick","November 21, 2016 Monday 3:43 PM GMT",,"Brexit is likely to end up before EU's highest court, says Europe's top judge; Koen Lenaerts, the President of the European Court of Justice, suggests there are 'many, many ways' it could intervene in Britain's EU exit","549 words","The Independent (United Kingdom)","UK POLITICS",
"By Justin Huggler","November 17, 2016 Thursday 2:57 PM GMT",,"Brexit negotiations should be transparent, Obama says, on last Europe tour as president","549 words","telegraph.co.uk","NEWS",
"Frances Gibb","November 19, 2016 Saturday",,"Truss may have broken law in failing to defend Brexit judges","550 words","The Times (London)","NEWS; Pg. 2",
,"November 18, 2016 Friday 10:16 AM GMT",,"Labour Remain losers try to stoke Brexit austerity fears and attack Jeremy Corbyn again","550 words","Express Online",,
"Ashley Cowburn","November 16, 2016 Wednesday 5:44 PM GMT",,"Brexit: There are Tory MPs willing to vote against Article 50, claims Tim Farron; Exclusive: The Liberal Democrat leader toldThe Independent around half a dozen Tories had said 'encouraging things' to him","550 words","The Independent (United Kingdom)","UK POLITICS",
"ARJ SINGH","November 15, 2016 Tuesday 6:08 AM GMT",,"Leaked document reveals Theresa May still has no plan for Brexit; The November 7 memo obtained by The Times also suggeststhat Cabinet splits are delaying the Government's ability to agree a negotiating strategy","550 words","The Independent (United Kingdom)","UK POLITICS",
"Slate Rodionova, Ashley Cowburn","November 14, 2016 Monday 9:24 AM GMT",,"Brexit: UK businesses 'face an extra £1.2bn in costs if it loses access to trade deals'; Lord Peter Mandelson, the former EU Trade Commissioner, said the billion-pound bill 'would be footed by businesses and passed on to consumers with higher prices in the shops'","550 words","The Independent (United Kingdom)","BUSINESS NEWS",
"Rob Merrick","November 24, 2016 Thursday 9:51 AM GMT",,"Philip Hammond urges pro-Brexit MPs to listen to warnings of damage caused by EU referendum vote; Chancellor says independent forecasts of 'a slightly more rainy day' to come must be heeded - after some Tory MPs ridiculed the predictions","551 words","The Independent (United Kingdom)","UK POLITICS",
"Rebecca Perring","November 21, 2016 Monday 3:06 PM GMT",,"Britain's close ally Denmark set to turn AGAINST UK over Brexit to PUNISH UK","551 words","Express Online",,
"TIM SCULTHORPE, MAILONLINE DEPUTY POLITICAL EDITOR","November 21, 2016 Monday 5:21 PM GMT",,"Britain's economy is growing faster than the ENTIRE G7 in another sign fears over Brexit vote are unfounded","551 words","MailOnline","NEWS",
"Szu Ping Chan","November 20, 2016",,"Watchdog to cut UK growth forecasts amid Brexit shocks; Inflation and borrowing both predicted to rise","551 words","The Sunday Telegraph (London)","BUSINESS;NEWS; Pg. 1,2",
"By Jack Blanchard","November 24, 2016 Thursday 6:21 PM GMT",,"Tony Blair to launch 'new movement' on social media to boost Britain's centre-left - and stop Brexit; The former PM has vowed to fight the right-wing populism that put Donald Trump on the path to the White House and propelled Britain towards the exit from the European Union","552 words","mirror.co.uk","NEWS,UK NEWS",
"Emran Mian","November 23, 2016 Wednesday 3:23 PM GMT",,"Everything that was missing from Philip Hammond's Autumn Statement; That deterioration future forecasts due to Brexit is the most important element of today's statement, andthe Chancellor's response wasnotable by what he has failed to do","552 words","The Independent (United Kingdom)","VOICES",
"Emran Mian","November 23, 2016 Wednesday 3:23 PM GMT",,"Everything that was missing from Philip Hammond's Autumn Statement; The deterioration of future forecasts due to Brexit is the most important element of today's statement, andthe Chancellor's response wasnotable by what he has failed to do","553 words","The Independent (United Kingdom)","VOICES",
"Jon Stone","November 15, 2016 Tuesday 4:36 PM GMT",,"Brexit vote driving anti-LGBT hate crime as victims told: 'You're next'; Charity records hate crimes explicitly mentioning Brexit vote alongside large rise","555 words","The Independent (United Kingdom)","UK POLITICS",
"Lizzie Stromme","November 16, 2016 Wednesday 11:25 AM GMT",,"BEAMING Katie Hopkins THANKS 'mother of migrants' Merkel for making Brexit happen","556 words","Express Online",,
"Rehema Figueiredo","November 21, 2016 Monday 12:00 AM GMT",,"Eurosceptics WELCOME Tony Blair's return to politics as he will boost BREXIT campaign","558 words","Express Online",,
"By Kate McCann, Senior Political Correspondent","November 16, 2016 Wednesday 11:15 AM GMT",,"Number of Eastern European migrants working in the UK since Brexit vote has increased, figures show","559 words","telegraph.co.uk","NEWS",
"ANN PETTIFOR","November 24, 2016",,"The Chancellor's weak economic leadership leaves us in this Brexit mess","560 words","The Independent - Daily Edition","Pg. 10",
"Katie Mansfield","November 23, 2016 Wednesday 11:13 AM GMT",,"Brexit protesters campaign outside Parliament over High Court ruling","560 words","Express Online",,
"Simon Johnson","November 14, 2016 Monday",,"Brexit 'growth shock' to cost Scots £1.3bn in cuts; Threat of second referendum is biggest danger to economy","561 words","The Daily Telegraph (London)","NEWS; Pg. 1,2",
"Ajay Nair","November 21, 2016 Monday 10:56 AM GMT",,"Humphrys goes on the attack: Today host scolds Greg Clark over Cabinet Brexit 'war'","562 words","Express Online",,
"David Maddox","November 17, 2016 Thursday 11:30 AM GMT",,"Outrage as Olympic athlete and Brexit campaigner BLOCKED from becoming MEP","562 words","Express Online",,
"Neil Lancefield","November 22, 2016 Tuesday 2:05 PM GMT",,"Government ministers 'acting like Dad's Army' over Brexit says Ryanair boss Michael O'Leary; Coutry is abouit to 'walk off a cliff' and ministers' 'lunatic optimism' is similar to that of incompetent geriatric television characters, airline chief executive says","563 words","The Independent (United Kingdom)","BUSINESS NEWS",
"By Marion Dakers, Financial services editor","November 22, 2016 Tuesday 2:10 PM GMT",,"AIG is reviewing its London headquarters after Brexit vote","563 words","telegraph.co.uk","BUSINESS",
"Ashley Cowburn","November 25, 2016 Friday 10:23 PM GMT",,"Corbyn's Momentum group launches nationwide campaign to 'Take Back Control' of Brexit; 'Taking back control is not the preserve of the right'","564 words","The Independent (United Kingdom)","UK POLITICS",
"By Dan Bloom","November 17, 2016 Thursday 12:55 PM GMT",,"EU funds 'misspent' on Ukip's Brexit campaigning and Nigel Farage's failed bid to become an MP; More than (EURO)70,000 went on polling in key seats in the run-up to the election including South Thanet, an EU audit into the ADDE party said","564 words","mirror.co.uk","NEWS,UK NEWS",
"Patrick Christys","November 22, 2016 Tuesday 2:26 PM GMT",,"'We still want you' European cities pledge loyalty to UK after Brexit vote","565 words","Express Online",,
"JON STONE","November 21, 2016 Monday",,"EU's Brexit stance makes no sense, Hammond says","567 words","The Independent - Daily Edition","NEWS; Pg. 9",
"Ben Kentish","November 17, 2016 Thursday 9:37 AM GMT",,"Brexit blamed for £100 billion budget black hole; Weak growth and big fall in sterling after EU vote mean government economic targets likely to be scrapped","567 words","The Independent (United Kingdom)","UK POLITICS",
"Rob Merrick","November 25, 2016 Friday 1:11 PM GMT",,"Treasury watchdog dismisses Michael Gove's claim it missed a £200m-a-week 'Brexit dividend'; The independent Office for Budget Responsibility hit back - pointing out that, in its gloomy economic calculations,the so-called 'Brexit dividend' had already been spent","568 words","The Independent (United Kingdom)","UK POLITICS",
"Alison Little ;Greg Heffer","November 17, 2016 Thursday",,"The 'Rolls-Royce' of Brexits","568 words","The Express","NEWS; Pg. 5",
"Rachael Pells","November 15, 2016 Tuesday 12:18 PM GMT",,"Brexit blamed for rise in foreign student 'no-shows' at top business schools; EU students are increasingly likely to choose other European countries for their studies, business school leaders warn, as top UK schools face up to 20 per cent increases in student 'no shows'","568 words","The Independent (United Kingdom)","EDUCATION NEWS",
,"November 22, 2016 Tuesday 12:59 PM GMT",,"'No chance Sturgeon!' Norway buries SNP's Brexit block bid and urges friendly deal with UK","569 words","Express Online",,
"Rob Merrick","November 15, 2016 Tuesday 3:01 PM GMT",,"Theresa May dealt fresh blow as Supreme Court judge signals major delay on starting Brexit; Lady Brenda Hale said a ""simple Act of Parliament"" may not be sufficient to start the process, arguing a 'comprehensive replacement' of a 1972 Act may be needed","569 words","The Independent (United Kingdom)","UK POLITICS",
,"November 14, 2016 Monday",,"Former Cameron adviser joins EY Brexit team; BUSINESS BULLETIN","57 words","The Daily Telegraph (London)","BUSINESS; Pg. 4",
